From Geojson;From Wiki
;Landkreis Leipzig: z. B. Markkleeberg und Markranstädt
;Landkreis Leipzig: z. B. Wurzen
;Landkreis Meißen: z. B. Großenhain und Radeburg (entstand aus dem ehemaligen Wahlkreis Riesa-Großenhain 2)
;Landkreis Meißen: z. B. Meißen (entstand aus dem ehemaligen Wahlkreis Meißen 1)
;Landkreis Meißen: z. B. Riesa (entstand aus dem ehemaligen Wahlkreis Riesa-Großenhain 1)
;Landkreis Nordsachsen: z. B. Eilenburg
;Landkreis Nordsachsen: z. B. Oschatz und Torgau
;Landkreis Sächsische Schweiz-Osterzgebirge: z. B. Dippoldiswalde
;Landkreis Sächsische Schweiz-Osterzgebirge: z. B. Freital
;Landkreis Sächsische Schweiz-Osterzgebirge: z. B. Pirna
;Landkreis Sächsische Schweiz-Osterzgebirge: z. B. Sebnitz
Lampertswalde;
Langenbernsdorf;Langenbernsdorf
Langenweißbach;Langenweißbach
Laußig;
Laußnitz;Laußnitz
Lauta;Lauta
Lauter-Bernsbach;Lauter-Bernsbach
Lawalde;Lawalde
;Leipzig
;Leipzig
;Leipzig
;Leipzig
;Leipzig
;Leipzig
;Leipzig
Leisnig;Leisnig
Lengenfeld;Lengenfeld
Leubsdorf;Leuben
Leutersdorf;Leubnitz-Neuostra
;Leubsdorf
;Leutersdorf
Lichtenau;Lichtenau
Lichtenberg;Lichtenberg
Lichtenberg/Erzgebirge;Lichtenberg
Lichtenstein/Sachsen;Lichtenstein
Lichtentanne;Lichtentanne
Liebschützberg;
Liebstadt;
Limbach;Limbach
Limbach-Oberfrohna;Limbach-Oberfrohna
Löbau;Löbau
Löbnitz;Löbnitz
;Lockwitz)
Lohmen;
Lohsa - Łaz;Lohsa
Lommatzsch;
;Loschwitz)
Lossatal;
Lößnitz;Lößnitz
Lugau;Lugau
Lunzenau;Lunzenau
;Lutherviertel
Machern;
Malschwitz - Malešecy;Malschwitz
Marienberg;Marienberg
Markersdorf;Markersdorf
;Markersdorf
Markkleeberg;
Markneukirchen;Markneukirchen
Markranstädt;
Meerane;Meerane
Meißen;
Mildenau;Mildenau
;Mittelbach
Mittelherwigsdorf;Mittelherwigsdorf
Mittweida;Mittweida
;Mochau
Mockrehna;
;Morgenleite
Moritzburg;Moritzburg
Mücka - Mikow;Mücka
Mügeln;
;Mühlau
Müglitztal;
Mühlau;
Mühlental;Mühlental
Mulda/Sachsen;Mulda
Muldenhammer;Muldenhammer
Mülsen;Mülsen
;Mylau
Naundorf;
Naunhof;
Nebelschütz - Njebjelčicy;Nebelschütz
Neißeaue;Neißeaue
Neschwitz - Njeswačidło;Neschwitz
Netzschkau;Netzschkau
Neuensalz;Neuensalz
Neuhausen/Erzgebirge;Neuhausen
Neukieritzsch;
Neukirch;Neukirch
Neukirch/Lausitz;Neukirch
Neukirchen/Erzgebirge;Neukirchen
Neukirchen/Pleiße;Neukirchen
Neumark;Neumark
Neusalza-Spremberg;Neusalza-Spremberg
Neustadt in Sachsen;Neustadt
Neustadt/Vogtland;
Niederau;
Niederdorf;Niederdorf
Niederfrohna;Niederfrohna
Niederwiesa;Niederwiesa
Niederwürschnitz;Niederwürschnitz
Niesky;Niesky
Nossen;
Nünchritz;
Obergurig - Hornja Hórka;Obergurig
Oberlungwitz;Oberlungwitz
Oberschöna;Oberschöna
Oberwiera;Oberwiera
Oberwiesenthal;Oberwiesenthal
Oderwitz;Oderwitz
Oederan;Oederan
Oelsnitz/Erzgeb.;Oelsnitz
Oelsnitz/Vogtl.;Oelsnitz
Ohorn;Ohorn
Olbernhau;Olbernhau
Olbersdorf;Olbersdorf
Oppach;Oppach
Oschatz;
Oßling - Wóslink;Oßling
Ostrau;Ostrau
Ostritz;Ostritz
Ottendorf-Okrilla;Ottendorf-Okrilla
Otterwisch;
Oybin;Oybin
Panschwitz-Kuckau - Panćicy-Kukow;Panschwitz-Kuckau
Parthenstein;
Pausa-Mühltroff;Pausa-Mühltroff
Pegau;
Penig;Penig
;Pfaffroda
Pirna;
Plauen;Plauen
Pockau-Lengefeld;Pockau-Lengefeld
Pöhl;Pöhl
Priestewitz;
Pulsnitz;Pulsnitz
Puschwitz - Bóšicy;Puschwitz
Quitzdorf am See - Kwětanecy;Quitzdorf am See
Rabenau;
